10/15/2018,20:15,SanFrancisco49ers,GreenBayPackers
10/18/2018,20:20,DenverBroncos,ArizonaCardinals
10/21/2018,09:30,TennesseeTitans,LosAngelesChargers
10/21/2018,13:00,BuffaloBills,IndianapolisColts
10/21/2018,13:00,CarolinaPanthers,PhiladelphiaEagles
10/21/2018,13:00,CincinnatiBengals,KansasCityChiefs
10/21/2018,13:00,ClevelandBrowns,TampaBayBuccaneers
10/21/2018,13:00,DetroitLions,MiamiDolphins
10/21/2018,13:00,HoustonTexans,JacksonvilleJaguars
10/21/2018,13:00,MinnesotaVikings,NewYorkJets
10/21/2018,13:00,NewEnglandPatriots,ChicagoBears
10/21/2018,16:05,NewOrleansSaints,BaltimoreRavens
10/21/2018,16:25,DallasCowboys,WashingtonRedskins
10/21/2018,20:20,LosAngelesRams,SanFrancisco49ers
10/22/2018,20:15,NewYorkGiants,AtlantaFalcons
10/25/2018,20:20,MiamiDolphins,HoustonTexans
10/28/2018,09:30,PhiladelphiaEagles,JacksonvilleJaguars
10/28/2018,13:00,BaltimoreRavens,CarolinaPanthers
10/28/2018,13:00,ClevelandBrowns,PittsburghSteelers
10/28/2018,13:00,DenverBroncos,KansasCityChiefs
10/28/2018,13:00,NewYorkJets,ChicagoBears
10/28/2018,13:00,SeattleSeahawks,DetroitLions
10/28/2018,13:00,TampaBayBuccaneers,CincinnatiBengals
10/28/2018,13:00,WashingtonRedskins,NewYorkGiants
10/28/2018,16:05,IndianapolisColts,OaklandRaiders
10/28/2018,16:25,GreenBayPackers,LosAngelesRams
10/28/2018,16:25,SanFrancisco49ers,ArizonaCardinals
10/28/2018,20:20,NewOrleansSaints,MinnesotaVikings
10/29/2018,20:15,NewEnglandPatriots,BuffaloBills
11/01/2018,20:20,OaklandRaiders,SanFrancisco49ers
11/04/2018,13:00,AtlantaFalcons,WashingtonRedskins
11/04/2018,13:00,ChicagoBears,BuffaloBills
11/04/2018,13:00,DetroitLions,MinnesotaVikings
11/04/2018,13:00,KansasCityChiefs,ClevelandBrowns
11/04/2018,13:00,NewYorkJets,MiamiDolphins
11/04/2018,13:00,PittsburghSteelers,BaltimoreRavens
11/04/2018,13:00,TampaBayBuccaneers,CarolinaPanthers
11/04/2018,16:05,HoustonTexans,DenverBroncos
11/04/2018,16:05,LosAngelesChargers,SeattleSeahawks
11/04/2018,16:25,LosAngelesRams,NewOrleansSaints
11/04/2018,20:20,GreenBayPackers,NewEnglandPatriots
11/05/2018,20:15,TennesseeTitans,DallasCowboys
11/08/2018,20:20,CarolinaPanthers,PittsburghSteelers
11/11/2018,13:00,ArizonaCardinals,KansasCityChiefs
11/11/2018,13:00,AtlantaFalcons,ClevelandBrowns
11/11/2018,13:00,BuffaloBills,NewYorkJets
11/11/2018,13:00,DetroitLions,ChicagoBears
11/11/2018,13:00,JacksonvilleJaguars,IndianapolisColts
11/11/2018,13:00,MiamiDolphins,GreenBayPackers
11/11/2018,13:00,NewEnglandPatriots,TennesseeTitans
11/11/2018,13:00,NewOrleansSaints,CincinnatiBengals
11/11/2018,13:00,WashingtonRedskins,TampaBayBuccaneers
11/11/2018,16:05,LosAngelesChargers,OaklandRaiders
11/11/2018,16:25,SeattleSeahawks,LosAngelesRams
11/11/2018,20:20,DallasCowboys,PhiladelphiaEagles
11/12/2018,20:15,NewYorkGiants,SanFrancisco49ers
11/15/2018,20:20,GreenBayPackers,SeattleSeahawks
11/18/2018,13:00,CarolinaPanthers,DetroitLions
11/18/2018,13:00,CincinnatiBengals,BaltimoreRavens
11/18/2018,13:00,DallasCowboys,AtlantaFalcons
11/18/2018,13:00,HoustonTexans,WashingtonRedskins
11/18/2018,13:00,MinnesotaVikings,ChicagoBears
11/18/2018,13:00,PhiladelphiaEagles,NewOrleansSaints
11/18/2018,13:00,TampaBayBuccaneers,NewYorkGiants
11/18/2018,13:00,TennesseeTitans,IndianapolisColts
11/18/2018,16:05,DenverBroncos,LosAngelesChargers
11/18/2018,16:05,OaklandRaiders,ArizonaCardinals
11/18/2018,20:20,PittsburghSteelers,JacksonvilleJaguars
11/19/2018,20:15,KansasCityChiefs,LosAngelesRams
11/22/2018,12:30,ChicagoBears,DetroitLions
11/22/2018,16:30,WashingtonRedskins,DallasCowboys
11/22/2018,20:20,AtlantaFalcons,NewOrleansSaints
11/25/2018,13:00,ClevelandBrowns,CincinnatiBengals
11/25/2018,13:00,JacksonvilleJaguars,BuffaloBills
11/25/2018,13:00,MiamiDolphins,IndianapolisColts
11/25/2018,13:00,NewEnglandPatriots,NewYorkJets
11/25/2018,13:00,NewYorkGiants,PhiladelphiaEagles
11/25/2018,13:00,OaklandRaiders,BaltimoreRavens
11/25/2018,13:00,SanFrancisco49ers,TampaBayBuccaneers
11/25/2018,13:00,SeattleSeahawks,CarolinaPanthers
11/25/2018,16:05,ArizonaCardinals,LosAngelesChargers
11/25/2018,16:25,PittsburghSteelers,DenverBroncos
11/25/2018,20:20,GreenBayPackers,MinnesotaVikings
